,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
28,2018-En-03821,@wengzyjb I don't even know na naa koy beautiful nightmare hahahaha oks,fear,0: no fear can be inferred,0
271,2017-En-20037,@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited,fear,3: high amount of fear can be inferred,2
1633,2017-En-20262,"jimmy_dore: RaisingTheBoss we've already lost our country and our government to oligarchs, but their fear tactics still work it appears.",fear,1: low amount of fear can be inferred,1
174,2018-En-03449,You don't know fear until you have clogged the toilet at work and can't find the plunger. #horrifying #bathroom #FirstWorldProblems,fear,3: high amount of fear can be inferred,2
578,2017-En-22239, Look for #contrasts....#behaviour may be a #camouflage....garments a #shell....a #bully may be a #baby inside.....' - Prof Caroline Taylor,fear,0: no fear can be inferred,0
2094,2017-En-20030,I hate when people say 'I need to talk to you or we need to talk.' My anxiety immediately goes up...,fear,3: high amount of fear can be inferred,2
956,2017-En-20958,"@SalmonDelicious @bigdickkishibae I lost it at 18. Like, really not a big deal. Don't worry about trivial shit like that.",fear,0: no fear can be inferred,0
1087,2017-En-21521,There is nothing like being in the shower when the power goes out 😳 #creepy #panic,fear,3: high amount of fear can be inferred,2
599,2017-En-20462,@realDonaldTrump She blamed Benghazi on a YouTube video. She blamed emails on #ColinPowell. Now she blames #terrorism on you. #weakHillary,fear,0: no fear can be inferred,0
429,2017-En-21355,@Groupon_UK who do I contact about a shocking experience with Clear Sky Holidays booked through you guys?? #customerservicefail #dreadful,fear,0: no fear can be inferred,0
359,2018-En-04054,Thinking about life this morning and how something is missing. — feeling restless,fear,3: high amount of fear can be inferred,2
7,2018-En-01354,@LoveMyFFAJacket FaceTime - we can still annoy you 😂,fear,0: no fear can be inferred,0
1964,2017-En-20867,Can we start a 'get Chris Sutton off our tv campaign? Spread the work  #pundit #noclue,fear,0: no fear can be inferred,0
133,2018-En-02288,"@NewsByKatherine @jonkarl @ABC YOU GUY'S SOUND astounded!! Does anyone working w Trump WH have an any ethical,moral, values? 🙈🙉🙊",fear,0: no fear can be inferred,0
1562,2017-En-20029,6. 5 minutes to perform and I'm #nervous I wish these noises would stop #handicapped #annoyed,fear,3: high amount of fear can be inferred,2
1245,2017-En-21702,"@erickogi @citizentvkenya @OfficialJMbugua but at what price. The near misses are too many, am afraid it may translate into something else",fear,1: low amount of fear can be inferred,1
416,2017-En-20325,"@Ms_Asia_Pacific @jgsuing @PilosopoTanya @HuffingtonPost @HuffPostPol as a fellow UP grad, i shiver at the shallowness of his arguments",fear,1: low amount of fear can be inferred,1
1689,2017-En-21905,@Owlman2011 @charitypricey @jon_newsome @PRAWNSANDOWl @smith_alister @MikeConnelly9 average 22000 for the massif... ,fear,0: no fear can be inferred,0
1163,2017-En-21545,@sphiwememela...its bad.I am fearing for my life🙏,fear,3: high amount of fear can be inferred,2
1765,2017-En-20376,Appropriate that first secretary at permanent mission is tasked with demolition of #terror state #Pakistan - Like 'renunciation of lies' bit,fear,1: low amount of fear can be inferred,1
1664,2017-En-21206,Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying,fear,3: high amount of fear can be inferred,2
1481,2017-En-20052,"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",fear,3: high amount of fear can be inferred,2
711,2017-En-21706,"Hey @PapaJohnsUK I've been charged £40.24 on my credit card 4 an order which never arrived last Friday, any chance of a refund!! ",fear,0: no fear can be inferred,0
1986,2017-En-21661,Heyyyy warriors!!!!! #anxiety #panicattacks,fear,3: high amount of fear can be inferred,2
21,2018-En-03177,"@jamesmb @DonaldJTrumpJr His knife is clean. He is tough enough to fire a gun, but not tough enough to get his hands dirty. #awful",fear,1: low amount of fear can be inferred,1
74,2017-En-21377,The majority of my clients have family/ partner/ day job/ life AND write their beautiful books.  #gratitude #HARDwork,fear,0: no fear can be inferred,0
1027,2017-En-20839,Just want Saturday to be over but then again I want to do good #LSAT ,fear,0: no fear can be inferred,0
716,2017-En-21316,second episode of AHS 6 here i go #panic,fear,2: moderate amount of fear can be inferred,1
1259,2017-En-20699,So is texting a guy 'I'm ready for sex now' considered flirting?' #shocking,fear,0: no fear can be inferred,0
1872,2017-En-20758,"@Meruna_  as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.",fear,0: no fear can be inferred,0
1887,2017-En-20590,these confident bitches should scare you the most,fear,0: no fear can be inferred,0
720,2017-En-22132,"My best friend gets married in three days, I have replaced all my anxiety with an eeiry calm and cat cuddles.",fear,0: no fear can be inferred,0
548,2017-En-20253,this Mac update has me some kind of apprehensive.,fear,1: low amount of fear can be inferred,1
1175,2017-En-21919,I have serious separation anxiety 😭😭💔,fear,3: high amount of fear can be inferred,2
169,2018-En-00187,@gautamravi168 @vijatta @RanaAyyub He may hv driven the bus to the terror hiding.,fear,2: moderate amount of fear can be inferred,1
1243,2017-En-20254,a panic attack AND CALL YOURSELF A REAL FAN makes me so mad like i dont even have the words to explain. this is why some people give no +,fear,1: low amount of fear can be inferred,1
162,2017-En-20374,Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless,fear,1: low amount of fear can be inferred,1
1086,2017-En-20676,An absolutely dire first half and I can't recall a shot on target. \n\nAgainst Accrington Stanley.,fear,0: no fear can be inferred,0
55,2017-En-20075,My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳,fear,3: high amount of fear can be inferred,2
1884,2017-En-20067,I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM  #SingleGirlProblems,fear,3: high amount of fear can be inferred,2
45,2017-En-20023,im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,fear,3: high amount of fear can be inferred,2
1019,2017-En-21132,When you make a great tasting shake and no words can describe it!😃👌🏻  #herbalifenutrition #tastesogood #nowords,fear,0: no fear can be inferred,0
1684,2017-En-20221,Do you think humans have the sense for recognizing impending doom? ,fear,1: low amount of fear can be inferred,1
1978,2017-En-20218,@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,fear,1: low amount of fear can be inferred,1
1488,2017-En-21467,@dilancliff @jackcourtney95 @ConnorGarnett1 Connor said he's worried that Jack will steal his girls on a night out #nervous,fear,3: high amount of fear can be inferred,2
111,2017-En-21887,"@HillaryClinton Americans for HRC! Now maybe, as you see the world getting rid of terror to save their countries you'll get the  DEMS out.",fear,1: low amount of fear can be inferred,1
386,2017-En-20954,@corruptmelon now im feeling the ,fear,0: no fear can be inferred,0
893,2017-En-20047,That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous 😥😥,fear,3: high amount of fear can be inferred,2
914,2017-En-20321,@datboyJuniorE lool soon as man start loosing weight.  Its panic,fear,1: low amount of fear can be inferred,1
1320,2017-En-22240,#ADHD &amp; #anxiety are #IRRELEVANT\nAnyone will be #EVICTED if a significant amount of rent HAS NOT BEEN PAID \n#mentalhealth aside\n#CantPay,fear,2: moderate amount of fear can be inferred,1
1731,2017-En-20356,"David's #anxiety is going to send him home. As someone who also suffers, learning to look normal is an essential coping skill. #survivor",fear,1: low amount of fear can be inferred,1
1490,2017-En-20095,I seem to alternate between 'sleep-full' and sleepless nights. Tonight is a sleepless one. 😕 #insomnia #anxiety #notfair,fear,2: moderate amount of fear can be inferred,1
70,2017-En-20049,White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.,fear,3: high amount of fear can be inferred,2
1683,2017-En-22152,@UNHumanRights @UNDP_Pakistan wat an irony? #Pakistan lecturing the world on curbing #terrorism,fear,1: low amount of fear can be inferred,1
667,2017-En-21994,@AnthonyEinzig I'm so sorry. This is heartbreaking and so scary. If it can happen there it can happen anywhere. Please be safe 🙏🏻 #terror,fear,3: high amount of fear can be inferred,2
26,2017-En-21320,The terror threat level really need to be raised,fear,3: high amount of fear can be inferred,2
370,2018-En-01533,@stolencarRSA What's the make so we can panic 😃,fear,1: low amount of fear can be inferred,1
302,2018-En-04081,Government should take strong action against terrorism #AmarnathTerrorAttack   not only KADI NINDA,fear,1: low amount of fear can be inferred,1
469,2017-En-22087,@C1TYofFL1NT This will haunt my dreams. @JoePrich,fear,2: moderate amount of fear can be inferred,1
1653,2017-En-21547,Looks like I'm going in for my op just over a week or so early! #nervous 🙈🙈🙈,fear,3: high amount of fear can be inferred,2
157,2017-En-21398,#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ,fear,1: low amount of fear can be inferred,1
80,2018-En-02222,Totally scare for this upcoming results .,fear,3: high amount of fear can be inferred,2
1821,2017-En-20469,@StephenKing\n\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n#Trump #horror #scifi #ccot #p2,fear,0: no fear can be inferred,0
213,2018-En-03538,I'm so nervous and scared jfnsnzmz,fear,3: high amount of fear can be inferred,2
647,2017-En-21110,@FraserKeegan just had a steak pie supper #tremendous,fear,0: no fear can be inferred,0
1277,2017-En-22204,When your friends want to go out drinking but you know you gonna have to say no because social #anxiety runs your life,fear,3: high amount of fear can be inferred,2
698,2017-En-20010,procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack,fear,3: high amount of fear can be inferred,2
57,2017-En-21226,@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,2: moderate amount of fear can be inferred,1
1396,2017-En-21158,@Evan_McMullin @TheBlazeRadio Classic SHITLIB bullshit. Create a horrible problem and then 'discuss' how to solve it. What a PIMP.,fear,0: no fear can be inferred,0
1031,2017-En-21612,Skydive booked 😁😁 #nervous 🛩,fear,2: moderate amount of fear can be inferred,1
1179,2017-En-20810,I saw someone discourage someone from following their dreams. Just because you want to live in mediocrity doesn't mean someone else should.,fear,0: no fear can be inferred,0
2158,2017-En-20504,@ChrisChristie You have no Police credentials-You were a litigator. Nothing more-No Experience. #Sad #TrumpPuppet #Felon  #jersey4sale,fear,0: no fear can be inferred,0
1530,2017-En-20825,@zavvi @zavvihelp only offering 6 moth warranty #ps4pro  #truth #ripoff,fear,0: no fear can be inferred,0
2070,2017-En-22082,Last night I had a dream that today was Christmas. I woke up screaming because I wasn't ready. #nightmare,fear,3: high amount of fear can be inferred,2
115,2017-En-20313,"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting",fear,1: low amount of fear can be inferred,1
1475,2017-En-20146,What an actual nightmare,fear,2: moderate amount of fear can be inferred,1
1291,2017-En-22067,I don't get how people can leave their phone on don't disturb all day...does your mom not threaten you when you don't respond within seconds,fear,0: no fear can be inferred,0
1336,2017-En-20628,@JonnyDunn93 and Gerrard was awful then,fear,0: no fear can be inferred,0
1662,2017-En-21636,Happy 69th @StephenKing! May u keep haunting us for many years. #horror #writing,fear,0: no fear can be inferred,0
533,2017-En-20005,@mgcsartwork I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him,fear,3: high amount of fear can be inferred,2
2245,2017-En-21664,with terrorism a booming industry in Pak and govt. oblivious of the fact wt happens within its territory Talking Kashmir is Deranged,fear,1: low amount of fear can be inferred,1
81,2017-En-20090,"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",fear,3: high amount of fear can be inferred,2
108,2017-En-20713,"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach #terrible #lgm",fear,0: no fear can be inferred,0
767,2017-En-20123,When you arrive at the office the day before your first ever festival and the Internet is down #panic,fear,2: moderate amount of fear can be inferred,1
1099,2017-En-20007,@laura221b I don't think I've ever moved so fast in a panic in all my life 😂 Gave me such a fright 😓,fear,3: high amount of fear can be inferred,2
300,2018-En-01155,"i don't understand ppl who save wasps , next chance that lil dude gets he gnna sting ur grandma",fear,0: no fear can be inferred,0
323,2017-En-20324,Fosu Mensah is having a complete nightmare! It's the reason all Northamptons attacks come from the left.,fear,1: low amount of fear can be inferred,1
702,2017-En-20056,"What a shamefull, unequal, dangerous and worrying world we live in nowadays!  #terrifying #Charlotte #terrorism #shitworldforourkids",fear,3: high amount of fear can be inferred,2
1902,2017-En-21981,That was a fast response madrid.....Zidane threaten unuh,fear,0: no fear can be inferred,0
1580,2017-En-21477,if Man U lose i may actually have a nervous breakdown,fear,3: high amount of fear can be inferred,2
5,2017-En-20682,@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.,fear,0: no fear can be inferred,0
373,2018-En-04150,"Repeated terror attacks,no1 can define the religion of terrorists.\n1 guy arrested,Terrorists/ism got it's religion.",fear,2: moderate amount of fear can be inferred,1
1609,2017-En-21657,If I could turn anxiety off--I would. #nooneunderstands #anxiety,fear,3: high amount of fear can be inferred,2
2042,2017-En-20001,I get so nervous even thinking about talking to ****** I wanna die,fear,3: high amount of fear can be inferred,2
1164,2017-En-20106,So not pumped for this interview #nervous,fear,2: moderate amount of fear can be inferred,1
549,2017-En-20231,bout to read this article 'Moving the Conversation Forward: Homosexuality &amp; Christianity' from someone in the foursquare church #nervous,fear,1: low amount of fear can be inferred,1
1576,2017-En-22050,What did y'all do to your app @NFLfantasy   It's horrible.  #horrible.  Worst except once ever,fear,0: no fear can be inferred,0
2180,2017-En-21513,@Twitch how do I stop that horror movie themed commercial? Suddenly hearing screams is really not making me want to watch twitch. #anxiety,fear,3: high amount of fear can be inferred,2
183,2018-En-02937,I have actually watch drugs destroy an entire family 😢Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,fear,3: high amount of fear can be inferred,2
2137,2017-En-22222,Just got done watching Jeepers Creepers it was epic #horror #horrormoviesarebest #movies #movie #horrorfilm 🎬📽🎬,fear,1: low amount of fear can be inferred,1
4,2017-En-20022,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear,3: high amount of fear can be inferred,2
2186,2017-En-20658,You sure have a lot to say about something that doesn't even concern you 😉,fear,0: no fear can be inferred,0
333,2017-En-21258,@bkero @whispersystems Which really sucks because typing on a mobile device is always horrible and I hate it.,fear,0: no fear can be inferred,0
1242,2017-En-21446,The 2008 crisis was just the tremor In advance of the earthquake',fear,1: low amount of fear can be inferred,1
1801,2017-En-21639,@vkon1 @WindyCOYS by all accounts he was poor first half. Started showboating once game was safe #bully,fear,0: no fear can be inferred,0
55,2018-En-01273,@callmekarizma I take a huge nursing school test today and I'm so nervous,fear,3: high amount of fear can be inferred,2
724,2017-En-21294,😫 ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,fear,3: high amount of fear can be inferred,2
1588,2017-En-21569,"@AnsarAAbbasi John Kerry fckd u,chief justiceofpak made the statement publicly about party supporting terror what else u need#terrorstatepak",fear,2: moderate amount of fear can be inferred,1
2187,2017-En-21289,@RussiaInsider Really sad &amp; surprising. 1 side #Russia fighting against #IS &amp; on the other supporting #Pak which is epic centre 4 ,fear,0: no fear can be inferred,0
666,2017-En-20333,@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. #intimidated,fear,1: low amount of fear can be inferred,1
121,2017-En-20086,"@gdimelow @TheDailyShow @NivenJ1 @jordanklepper These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans.",fear,3: high amount of fear can be inferred,2
129,2017-En-20137,#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,fear,2: moderate amount of fear can be inferred,1
930,2017-En-20891,@Joey7Barton I remember Joey slagging England player's off bringing out books after crap tournaments..same same..crap player ,fear,0: no fear can be inferred,0
87,2017-En-21193,"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,3: high amount of fear can be inferred,2
1564,2017-En-20055,Life long fear of havin a shit and a spider crawls up ya bum,fear,3: high amount of fear can be inferred,2
361,2017-En-21245,Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.,fear,0: no fear can be inferred,0
415,2017-En-20060,"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom",fear,3: high amount of fear can be inferred,2
295,2018-En-01059,"@BillMoyersHQ Elderly belong w/family; our social system is broken.  This egregious 'Meancare' will shake it up, alas.",fear,1: low amount of fear can be inferred,1
244,2017-En-22161,Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB 😦 #nervous #timetogrind,fear,2: moderate amount of fear can be inferred,1
1745,2017-En-21458,I've realized my anxiety is at an all time high when I'm in my office. I feel prisoned here and I pick up on bad energy.,fear,3: high amount of fear can be inferred,2
604,2017-En-20556,Sickness bug! ,fear,0: no fear can be inferred,0
291,2018-En-01685,My dog wouldn't stop barking so now I'm up at eight am with a raging headache,fear,0: no fear can be inferred,0
1665,2017-En-21701,"@PrinceJumbo You're welcome and thank to you likewise! What are you hoping to learn, like your no 1 concern?",fear,0: no fear can be inferred,0
1634,2017-En-20755,"I like the commercial where @kohara19, on a chocolate milk bender, steals a soccer ball from some guys and refuses to give it back. #bully",fear,0: no fear can be inferred,0
708,2017-En-21495,0 excitement for this weekend just pure dread,fear,2: moderate amount of fear can be inferred,1
1128,2017-En-21169,The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear,3: high amount of fear can be inferred,2
539,2017-En-20285,@Sami_3499 Oh noooo!  #nomorehammocks #nightmare ;),fear,1: low amount of fear can be inferred,1
1623,2017-En-21156,There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,3: high amount of fear can be inferred,2
1787,2017-En-20428,@stevie7t Why does talksport sound like it's being broadcasted from someone's basement #terrible #quality #amateurs,fear,0: no fear can be inferred,0
669,2017-En-21537,Putin feels it acceptable to bomb &amp; kill aid workers. Soon he may be sitting at the same table as Trump!! #Armageddon #USApleasedont #horror,fear,2: moderate amount of fear can be inferred,1
2097,2017-En-22155,I seriously hope these chances Celtic are missing are going to come back to haunt them with an Alloa sucker punch,fear,0: no fear can be inferred,0
1091,2017-En-20849,".@Tolumanda love it! so true. As @Deedeey_ taught me, fear can be an illusion. #coaching #fear #courage",fear,0: no fear can be inferred,0
1472,2017-En-22010,"@todofuku dreadful day at work n now im gonna be late for class n im covered in paint, n now i have to work a night shift too :/",fear,3: high amount of fear can be inferred,2
1643,2017-En-21917,i am SO anxious all the time leaving the house is horrid,fear,3: high amount of fear can be inferred,2
1047,2017-En-21393,"I wish I could fast forward 3 months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure #anxiety",fear,2: moderate amount of fear can be inferred,1
1519,2017-En-22211,"@Sami749263491 yeah whatever, whahibbi are #muslims just a sect, as you know,  #islam is synonymous with #rape and #terrorism",fear,1: low amount of fear can be inferred,1
166,2018-En-03038,James Clapper 'scary and disturbing'.  #25thAmendmentNow #ImpeachTrump  #terrified #nuclearcodes  #Godhelpus,fear,2: moderate amount of fear can be inferred,1
650,2017-En-21295,Time for some despair #SDR3 #despair #fuckthisanime,fear,3: high amount of fear can be inferred,2
529,2017-En-21442,“Worry is a down payment on a problem you may never have'.  Joyce Meyer. #motivation #leadership ,fear,0: no fear can be inferred,0
1141,2017-En-20557,"sure, ohio state is terrible, ohio is awful, etc, etc\n\nthese feelings began with the toldeo war \n\nso, maybe don't campaign there?",fear,0: no fear can be inferred,0
261,2017-En-21239,@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,fear,0: no fear can be inferred,0
188,2017-En-20220,"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 #awful",fear,1: low amount of fear can be inferred,1
431,2017-En-21224,The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,3: high amount of fear can be inferred,2
56,2018-En-00124,"Theme of week: Ask the Lord for strength &amp; perspective to persevere in #integrity and effort, despite being #disheartened &amp; disappointed.",fear,0: no fear can be inferred,0
2115,2017-En-21447,"@bt_uk appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one ",fear,0: no fear can be inferred,0
330,2017-En-20906,Drop every fear...,fear,0: no fear can be inferred,0
1892,2017-En-21597,This weather making me dread work tonight,fear,2: moderate amount of fear can be inferred,1
2205,2017-En-20034,"Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear,3: high amount of fear can be inferred,2
120,2018-En-04339,"@thealexpeace Not bad at All, think may come back to haunt you's",fear,0: no fear can be inferred,0
1202,2017-En-21282,and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare,fear,1: low amount of fear can be inferred,1
782,2017-En-20038,"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit ",fear,3: high amount of fear can be inferred,2
1538,2017-En-21725,Need good vibes for my doctors appointment tomorrow! #nervous,fear,3: high amount of fear can be inferred,2
2160,2017-En-20002,I lost my blinders .... #panic,fear,3: high amount of fear can be inferred,2
1990,2017-En-21858,Body is sleepy but the mind is active. So sad... Have to get ready for work in 30 minutes. Damn! #restless,fear,1: low amount of fear can be inferred,1
842,2017-En-21768,Knowing I have my hair to wash and dry is like knowing you had that English close reading in your school bag to do #dread,fear,1: low amount of fear can be inferred,1
238,2017-En-20871,You don't know what to expect by Brendon's video lmao LA devotee video got me shook ,fear,0: no fear can be inferred,0
2161,2017-En-21993,@AnthonyEinzig I'm so sorry. This is heartbreaking and so scary. If it can happen there it can happen anywhere. Please be safe 🙏🏻 ,fear,3: high amount of fear can be inferred,2
343,2017-En-20168,@megynkelly We should be ignoring these rioters like the current administration ignores #terrorism. This will obviously make it stop.,fear,2: moderate amount of fear can be inferred,1
1304,2017-En-21646,the day they disclosed they caught her googling cholroform we were fucking aghast,fear,1: low amount of fear can be inferred,1
1188,2017-En-20044,#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape,fear,3: high amount of fear can be inferred,2
1599,2017-En-21678,I'm a nervous wreck omg,fear,3: high amount of fear can be inferred,2
12,2018-En-02412,@annakingradio Is that the new studio kit? I'd be terrified of pressing the wrong button and launching something dangerous! 😊,fear,3: high amount of fear can be inferred,2
2218,2017-En-20248,@TeaPartyOrg Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,fear,1: low amount of fear can be inferred,1
16,2017-En-21941,And they cover these police shootings fairly well they dont want to miss a chance to bully you,fear,2: moderate amount of fear can be inferred,1
1724,2017-En-20653,The 'banter' from Craigen and Sutton on BT is fucking horrid,fear,0: no fear can be inferred,0
436,2017-En-21015,#nana 4 hoco bc my dream since freshman year awe 😙❤❤❤ @thecandeyman,fear,0: no fear can be inferred,0
504,2017-En-20009,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... ,fear,3: high amount of fear can be inferred,2
1178,2017-En-21212,I don't want speak front to him #afraid #intimidate #nopanicattack,fear,3: high amount of fear can be inferred,2
2030,2017-En-20019,Cosplaying properly for the first time on Saturday! Pretty nervous..,fear,3: high amount of fear can be inferred,2
1742,2017-En-20446,New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,fear,0: no fear can be inferred,0
2227,2017-En-21694,Bring on my interview at hospital tho 🙈🙈 ,fear,0: no fear can be inferred,0
731,2017-En-22068,Side chick's be trying to fuck u like your going to forget about your wife when your done. #terrible,fear,0: no fear can be inferred,0
232,2017-En-20092,"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear,3: high amount of fear can be inferred,2
1374,2017-En-21707,I'm such a shy person oh my lord,fear,3: high amount of fear can be inferred,2
102,2017-En-20259,@RJAH_NHS @ChrisHudson76 @mbrandreth #course day # potential Leadership #excited #nervous # proud,fear,1: low amount of fear can be inferred,1
1571,2017-En-22042,there are magpies gathering around me help I'm going to be swooped ! #terrorism,fear,2: moderate amount of fear can be inferred,1
1567,2017-En-20498,God we need a new goal keeper! They’re both horrific.,fear,0: no fear can be inferred,0
1423,2017-En-22057,im so tired but i still have thisbhuge history test in a few minutes i cant afford to get freaked out now oh god if i have an anxiety attack,fear,3: high amount of fear can be inferred,2
1627,2017-En-20054,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate ",fear,3: high amount of fear can be inferred,2
151,2018-En-01665,Something #awestruck me today as i was laughing to a non subtitle korean variety show...,fear,0: no fear can be inferred,0
1395,2017-En-20412,@ExpressScripts u shd b embrrssd. u jack up my bp meds twice and it will still take 3-5 days? Not express at all. #expressscripts #horrible,fear,0: no fear can be inferred,0
808,2017-En-20079,I'm getting so nervous for my first anatomy exam 😩,fear,3: high amount of fear can be inferred,2
1802,2017-En-22121,"@noveliciouss OMG, that's such a beautiful quote. #breathless #amwriting",fear,0: no fear can be inferred,0
100,2017-En-21303,@kevinrouth Now that's what I call a gameface! #gameface ,fear,0: no fear can be inferred,0
388,2017-En-20510,i've seen the elder watching me during my community hours and i honestly don't have an idea about what my assignment will be. ,fear,0: no fear can be inferred,0
1725,2017-En-20301,@MikeGrunwald Anything is better than a Trump ramble. He is awful. Truly truly awful.,fear,1: low amount of fear can be inferred,1
1925,2017-En-21347,"Even at this level, rojo still manages to play god damn awful. #MUFC",fear,0: no fear can be inferred,0
1501,2017-En-21632,Why do I have such bad anxiety it's annoying,fear,3: high amount of fear can be inferred,2
290,2017-En-22096,@andreasarahco do you actually heely on campus bc this should scare you,fear,1: low amount of fear can be inferred,1
577,2017-En-21434,"Kernel panic = sweating, sneezing, hiccuping, snot, tears, crying. Clearly my body has an issue with chilli.",fear,2: moderate amount of fear can be inferred,1
1919,2017-En-20309,Girls with hairy arms scare me,fear,1: low amount of fear can be inferred,1
1786,2017-En-21351,@dish_answers I've contacted @dish @dish_answers #awful #service #whathappenedtocustomerservice,fear,0: no fear can be inferred,0
2010,2017-En-21585,So nervous I could puke,fear,3: high amount of fear can be inferred,2
1666,2017-En-22214,"Any #entrenepuers, #start ups, #SME's out there looking for proactive #accountancy, #tax and #business advice? We can help. Get in touch.",fear,0: no fear can be inferred,0
1492,2017-En-21188,"But I was so intrigued by your style, boy.Always been a sucker for a wild boy #alarm -@AnneMarieIAm",fear,0: no fear can be inferred,0
2035,2017-En-22118,Ffs 🙈 when things come back to haunt you... cringe bad cringe 🙋🏼👀🔫 👈 what a terrible gun that is,fear,3: high amount of fear can be inferred,2
1249,2017-En-20080,@camilluddington the fact that YOURE nervous makes me want to crawl in a hole,fear,3: high amount of fear can be inferred,2
2185,2017-En-21386,"there is no shame in fear, what matters is how we face it.",fear,0: no fear can be inferred,0
137,2018-En-00520,Quite possibly the worst anthems I've ever heard in pro sports by both singers. I wish I was deaf. #ASG2017 #mlb #MLBAllStarGame ,fear,0: no fear can be inferred,0
821,2017-En-22210,"@Sami749263491 yeah whatever, whahibbi are #muslims just a sect, as you know,  #islam is synonymous with #rape and ",fear,2: moderate amount of fear can be inferred,1
679,2017-En-21633,Look at me. Made it through the day without a meltdown. #anxiety,fear,1: low amount of fear can be inferred,1
1494,2017-En-21202,Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,0: no fear can be inferred,0
1591,2017-En-20093,"Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.",fear,3: high amount of fear can be inferred,2
872,2017-En-21615,"Friday is here, and we are open tonight and tomorrow. Get a jump on your Halloween and come play with us. #hauntedattraction #tulsa ",fear,0: no fear can be inferred,0
1636,2017-En-21052,@mackenzian yes! That was my one qualm. These are deeply theological issues we're engaging theologically.,fear,0: no fear can be inferred,0
1089,2017-En-21602,First day of fall quarter tomorrow.  😰  #excited #anxious #blargh,fear,0: no fear can be inferred,0
